,steps,heart_rate,raw_intensity,feeling_rate,time_of_day
810,1615,83.19,59.84,2,4
811,0,115.0,13.0,2,4
812,3342,103.2,86.13,2,5
813,86,82.68,43.15,2,5
814,1155,90.27,71.07,2,5
815,189,83.76,52.18,2,5
816,50,84.49,50.6,2,6
817,71,82.53,48.87,2,6
818,68,84.0,47.48,2,6
819,2742,99.0,107.39,2,6
820,1863,86.45,71.29,2,3
821,2642,87.33,68.67,2,3
822,468,85.33,46.5,2,3
823,448,94.22,89.07,2,4
824,612,93.54,72.9,2,4
825,68,85.29,33.74,2,4
826,179,91.81,67.12,2,4
827,1419,90.18,59.1,2,5
828,758,85.65,62.32,2,5
829,39,84.21,52.55,2,5
830,109,85.43,50.08,2,5
831,32,85.33,44.19,2,6
832,27,88.86,45.53,2,6
833,593,85.11,42.31,2,6
834,0,101.06,35.62,2,6
835,135,96.38,34.07,2,3
836,328,83.39,47.2,2,4
837,402,91.79,60.66,2,4
838,191,88.16,50.36,2,4
839,188,89.09,36.37,2,4
840,200,88.18,38.5,2,5
841,1518,82.29,59.44,2,5
842,4301,83.2,93.3,2,5
843,51,85.1,28.42,2,5
844,0,115.0,26.08,2,2
845,1878,97.63,66.16,2,2
846,1264,82.74,49.0,2,2
847,88,80.89,27.93,2,3
848,411,86.86,49.36,2,3
849,249,83.67,46.78,2,3
850,240,82.91,35.46,2,3
851,126,83.26,32.92,2,4
